rank,symbol,security
7,SWN,Southwestern Energy
14,RE,Everest Re
25,MDR,McDermott International
27,NEX,NexTier Oilfield Solutions
31,FB,Facebook
47,SBNY,Signature Bank
65,NUVA,NuVasive
74,CFX,Colfax
77,CDK,CDK Global Inc.
79,DNB,Dun & Bradstreet
86,ILG,"ILG, Inc."
95,MIME,Mimecast
102,OZRK,Bank of the Ozarks
107,SAI,SAIC
117,PVTB,PrivateBancorp
145,TWNK,Hostess Brands
156,UA/UAA,Under Armour
159,MNK,Mallinckrodt
160,ABK,Ambac Financial
161,CARA,Cara Therapeutics
163,CIT,CIT Group
165,WCG,WellCare
171,LYLT,Loyalty Ventures
174,RPAI,Retail Properties of America Inc.
208,LOGM,LogMeIn
210,AAXN,Axon Enterprise
216,DISH,Dish Network
224,LNCE,Snyder's-Lance
229,AMEH,"Apollo Medical Holdings, Inc."
239,COG,Cabot Oil & Gas
249,EVHC,Envision Healthcare
251,ENV,Envestnet
290,CCR,Countrywide Credit Industries
303,PDCE,PDC Energy
306,MEE,Massey Energy
307,ESRX,Express Scripts
315,DNKN,Dunkin' Brands Group Inc
317,DLPH,Delphi Technologies
325,MDRX,Allscripts Healthcare Solutions
332,CHK,Chesapeake Energy
336,MDSO,Medidata Solutions
352,RLGY,Realogy
361,AMED,Amedisys
363,WLP,Wellpoint
368,NVEE,NV5 Global
377,PRAH,PRA Health Sciences
380,MXIM,Maxim Integrated
415,SIX,Six Flags
418,JCOM,j2 Global
420,AVID,Avid Technology
447,UFS,Domtar Corp.
448,MSCC,Microsemi
455,CCMP,Cabot Microelectronics
457,VSM,Versum Materials
459,PCS,MetroPCS
470,SRC,Spirit Realty
476,UNVR,Univar Solutions
489,ARNC,Arconic
